Indeks;Första år;Sista år;Finsk släkt;Förnamn;Efternamn;Släktbelägg;Ort;Nuv. Socken;Län;Arkivkälla;Källspecifikation;2:a källa;Uppg.-lämn;Kommentarer;;
134;1888;;Hakkarainen;;;Hakkasät;;Los;X;;;S:54;;;;
135;16/1700-t;;Hakkarainen;Bengt;;Hakkarainen;Aspberget;N Finnskoga;S;SKS;Gottlundiana;Gtl2:111;;;;
136;1600-t; ;Hakkarainen;Per;Pålsson;Hackare;Nain;Gustav Adolf;S;VA:Älvdal HR;domb v712;;JEB;;;
137;1600-t;;Hakkarainen;Per;Pålsson;Hakkarainen;Nain;Gustav Adolf;S;SKS;Gottlundiana;Gtl1:290;;;;
138;1600-t; ;Hakkarainen;Josef;Persson;Hakkarainen;Aspberget;N Finnskoga;S;FRA:SHS;Gottlund VII:9:9;Gtl3:17f  ;;;;
139;1600-t; ;Hakkarainen;Lars;Persson;Hakkarainen;Aspberget;N Finnskoga;S;FRA:SHS;Gottlund VII:9:9;Gtl3:17f;;;;
140;1600-t; ;Hakkarainen;Pål;Persson;Hakkarainen;Brunnberg;Ekshärad;S;FRA:SHS;Gottlund VII:9:9;Gtl3:17f;;;;
141;1600-t; ;Hakkarainen;Per;Persson;Hakkarainen;Torpberg;Malung;W;FRA:SHS;Gottlund VII:9:9;Gtl3:17f;;;;
142;1600-t; ;Hakkarainen;Henrik;Persson;Hakkarainen;Nain;Gustav Adolf;S;FRA:SHS;Gottlund VII:9:9;Gtl3:17f;;;;
143;1600-t; ;Hakkarainen;Lars;Larsson;Hakkarainen;Granberget;Malung;W;SKS;Gottlundiana;Gtl1:275;;;;
144;1700-t; ;Hakkarainen;Erik;Pålsson;Hakkarainen;Björnåsen;Malung;W;SKS;Gottlundiana;Gtl1:287;;;;
145;1700-t; ;Hakkarainen;Lars;;Hakkarainen;Nain;Gustav Adolf;S;SKS;Gottlundiana;Gtl1:277;;;;
146;1700-t; ;Hakkarainen;Erik;Pålsson;Hakkarainen;Björnåsen;Malung;W;SKS;Gottlundiana;Gtl1:287;;;;
147;1700-t;;Hakkarainen;Mats; ;Hakkarainen; ;;S;SKS;Gottlundiana;Gtl2:111;;;;
148;1660;1671;Haljainen;Mats;;Haliand;Röjdoset;Östmark;S;SRA:LR:Fryksände;til 660;;JEB;;;
149;1668;;Haljainen;Mats;;Hålian;Röjdoset;Östmark;S;SRA:LR:Fryksände;til 668;;JEB,GB;;;
150;1668;1709;Haljainen;Erik;;Halian;N Röjdåsen;Östmark;S;SRA:LR:Fryksände;til 668,mtl 670; ;JEB,JM/NP;;;
151;1669;;Haljainen;Mats;;Hallian;Röjdoset;Östmark;S;SRA:LR:Fryksände;mtl 669,670,671; ;GB,JM/NP;;;
152;1671;;Haljainen;Erik;;Hallian;N Röjdåsen;Östmark;S;SRA:LR:Fryksände;mtl 671,672; ;JM/NP;;;
153;1673; ;Haljainen;Erik;;Hallian;Gransjön;Östmark;S;SRA:LR:Fryksände;mtl 673; ;JM/NP;;;
154;1677;;Haljainen;Erik ;Eriksson;Haljan; ;Östmark;S;KrA:Fryksände;rr 723,677:6;;JEB;;;
155;1677;1681;Haljainen;Erik;;Halian;Röjdoset;Östmark;S;SRA:LR:Fryksände;mtl 677;;JM/NP;;;
156;1678; ;Haljainen;Erik;;Hallian;Röjdoset;Östmark;S;SRA:LR:Fryksände;mtl 678,679,681; ;JM/NP;;;
157;1686; ;Haljainen;Mattis;Jørgensen;Haion;Risberget;Våler Finnskog;No;NRA:DK;finnemtl 686;Fm:105;;;;
158;1686; ;Haljainen;Mattis;Jørgensen;Haion;Risberget;Våler Finnskog;No;SAH:SØSS;tb 686;;JM;;;
159;1686; ;Haljainen;Morten;Eriksen;Hallien;Lystadskogen;Brandval Finnskog;No;NRA:DK;finnemtl 686;Fm:102;;;;
160;1686; ;Haljainen;Morten;Eriksen;Halian;Lystadskogen;Brandval Finnskog;No;SAH:SØSS;tb 686; ;JM;;;
161;1694;1700;Haljainen;Erik;;Hollør; ;Grue Finnskog;No;SAH:SØSS;tb 694;;JM;;;
162;1697; ;Haljainen;Erik;Eriksen;Hajlan;Vålberget;Grue Finnskog;No;NRA:KG1:Grue;ungt mannskap 697;;JM;;;
163;1698; ;Haljainen;Erik;;Halgian;Gransjön;Östmark;S;SRA:LR:Fryksände;lagml 698;;JEB;;;
164;1699;;Haljainen;Erik;;Hallian;Gransjön;Östmark;S;VA:Fryksdal HR;domb v699; ;JM;;;
165;1700; ;Haljainen;Erik;;Halian;Vålberget;Grue Finnskog;No;NRA:SA;sfmtl 700;Fk 96:1;;;;
166;1700; ;Haljainen;Jörgen;;Höiland;Askosberget;Grue Finnskog;No;NRA:SA;sfmtl 700;Fk 96:1;;;;
167;1709; ;Haljainen;Erik;;Hallijan; ;Östmark;S;VA:Fryksände KB;fb 709;;JEB,NP;;;
168;1821;;Haljainen;Nils;Jonsson;Haljainen;N Röjdåsen;Östmark;S;SKS;Gottlundiana;Gtl2:300;;;;
169;1821;;Haljainen;Nils;Jonsson;Haljainen;Gransjön;Östmark;S;SKS;Gottlundiana;Gtl2:307;;;;
170;1821;;Haljainen;Nils;Henriksson;Haljainen;N Röjdåsen;Östmark;S;SKS;Gottlundiana;Gtl2:303;;;;
171;1821;;Haljainen;Helga;;Haljainen;Råbäcken;Östmark;S;SKS;Gottlundiana;Gtl2:252;;;;
172;1821;;Haljainen;Hans;Olsson;Haljainen;Röjden;S Finnskoga;S;SKS;Gottlundiana;Gtl2:340;;;;
173;1821;;Haljainen;Erik;Mårtensson;Haljainen;Gransjön;Östmark;S;SKS;Gottlundiana;Gtl2:307;;;;
174;1821;;Haljainen;Erik;Eriksson;Haljainen;Nolla;Östmark;S;SKS;Gottlundiana;Gtl2:251;;;;
175;1821;;Haljainen;;;Haljainen;Arnsjön;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:84;;;;
176;1821;;Haljainen;;;Haljainen;Björntjärnshöjden;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:105;;;;
177;1821;;Haljainen;;;Haljainen;Gletjärn;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:104;;;;
